ASV	Life_Stages
2135eaa5b91f04dc6c377562d5dc09a4	Ephyra;Medusae;Polyp
0f9964b3c12cd5fcbaac649d49d287ee	Ephyra;Medusae;Polyp
72c323ee5902edbb7b79efecdd5b2e3c	Ephyra;Medusae;Polyp
110d016bf58f65c9cf8d57b2bc409db8	Medusae;Polyp
4a9825bd1359fb68a353b06c71b9b04f	Medusae;Polyp
4e220a9380d25fbdb1b1681bd8e08e1d	Ephyra;Medusae;Polyp
73c98c3ced4bbb1f4d3d0ae0d1d03f53	Ephyra;Medusae;Polyp
5140965609e1f928e16e675edc225cd6	Medusae;Polyp
5693864ff0d541b4569c1a0dbaf91207	Medusae;Polyp
f92d3015a23a0e0b67223be1f9a8a6ce	Medusae;Polyp
c14c32b6e55160fb384327c0e04c5862	Medusae;Polyp
9ab20044c61bf536cc132b4583aa4ec3	Medusae;Polyp
3a0983c9a476952073c02a70810c2f9a	Medusae;Polyp
35b396e12f1b0b426476d17d3a06caa7	Medusae;Polyp
8c82e05f6a79fb422fd753b3d900d346	Medusae;Polyp
f702d525619bd3a7da19482b70baf1c4	Ephyra;Medusae;Polyp
05ccf93ee2c4dcdffd176d0e4ca3c9db	Medusae;Polyp
ee3c02c98c5f2bb3184b6c06bcfcc90d	Medusae;Polyp
a93f3c7f0cc9a65f814f29e74a73fd01	Medusae;Polyp
41029cf7ce5d0c2639e19b790657a9da	Medusae;Polyp
5fef47d7ca916c458f2acdabdd4fc632	Medusae;Polyp
68bb3196446383cf717c711c099f9532	Medusae;Polyp
44de2d5e37d39d4356fccd61ac8d6bbe	Medusae;Polyp
c0222ee969243ea5dcab69377a5a9d5c	Polyp
9c9c07c5f1f743621a7d7743f1cf524e	Medusae;Polyp
686709e3bba6c0aabb3906f7307d449d	Ephyra;Medusae;Polyp
366ab15b88fa1920538b2b5104ce64bc	Medusae;Polyp
a340509099fb4c72532dc05138a1136b	Medusae;Polyp
04dbdf57b4948227692bae1ef2e85dad	Medusae;Polyp
c67e7d40e505d395d4a1dfc9f840dbdc	Medusae;Polyp
da4ee6611eaf65829faa4f4d63b3c7d1	Medusae;Polyp
1ab08006c53f1dfea22bfe9277875c1c	Medusae;Polyp
943f6171fa23d60817bbc7edbf57f4c6	Polyp
d8d4d4f4f23d4ab41bebeda04a3fc0f1	Medusae;Polyp
e8af1b5272f1d7e59126536628219b05	Medusae;Polyp
3848b5414519eb2759d65cb892a07957	Polyp
b3905f6d2cea075f19a8129058eadbff	Medusae;Polyp
cddf497262e9ce935e058105e6252642	Polyp
4c0532118d3780b3d7bcbe50201dcda9	Polyp
dc9f9bd55f8089e16bdfdfb39afe0591	Medusae;Polyp
5f075f9b20a68f1ad1faafc963d194b7	Polyp
4c40205517345f356281ddcfe23c20e5	Medusae;Polyp
fd2ca755a684013e1ab0ceeaeeb92a12	Polyp
8307fe4f26f20be359cd7ecc5285ca3d	Medusae;Polyp
06b92dc8c1436384f6d23ac8e6761491	Medusae;Polyp
f160d665ae39a93cef04024c90533cf3	Medusae;Polyp
cd41f6e40eecc781ac6c1c4bae9d0122	Medusae;Polyp
6802ecc27822f07cfaf856a745c10180	Polyp
