	ASW1	ASW2	ASW3	ASW4	DNA6	DNA7	DNA8	DNA9	SRR24773994	SRR24773995	SRR24773996	SRR24773997	SRR24773998	SRR24773999	SRR24774000	SRR24774005	SRR24774010	SRR24774011	SRR24774012	SRR24774013	SRR24774014	SRR24774015	SRR24774016	SRR24774017
2135eaa5b91f04dc6c377562d5dc09a4	207	158	203	79	86	728	5097	852	9676	23702	24717	20828	20279	21364	12286	1986	37183	32667	33628	49481	36746	18905	1279	1794
0f9964b3c12cd5fcbaac649d49d287ee	99	69	130	32	656	487	6485	871	14671	12378	29737	32500	7728	2538	28302	7221	1587	135	461	462	16104	10830	6394	6763
72c323ee5902edbb7b79efecdd5b2e3c	62	68	118	0	595	405	4853	682	11319	9662	20941	22301	4276	1380	18398	4135	1239	113	320	368	12204	8157	3613	3688
110d016bf58f65c9cf8d57b2bc409db8	0	0	0	0	0	0	0	0	60	400	0	0	0	0	0	0	3145	3090	4098	6861	3711	106	0	0
aa9106c2a30648576a1982f26d1a2cfa	0	0	0	7	1096	488	13087	5703	0	0	0	0	29	0	49	19	3	0	0	17	0	7	34	24
4a9825bd1359fb68a353b06c71b9b04f	0	0	0	11	0	98	0	0	39	1515	0	0	0	0	0	0	2469	2949	4199	1379	2443	530	0	0
4e220a9380d25fbdb1b1681bd8e08e1d	431	202	130	34	0	53	1895	0	61	551	50	270	32	0	63	7	362	646	1015	611	1906	387	0	0
73c98c3ced4bbb1f4d3d0ae0d1d03f53	0	0	0	0	0	0	0	0	30	796	0	0	13	0	0	0	1166	1461	2195	722	1192	331	0	0
5140965609e1f928e16e675edc225cd6	880	1070	1662	1141	0	0	0	0	42	311	0	0	0	0	0	0	26	0	28	61	5	191	0	0
5693864ff0d541b4569c1a0dbaf91207	0	0	0	0	0	0	0	0	2749	1021	0	0	0	0	0	0	0	0	0	21	36	1017	0	0
00fea10a06752529438e61978d2bc07d	489	723	820	32	319	0	1029	0	0	756	31	43	0	0	19	0	29	115	96	28	220	51	0	0
f92d3015a23a0e0b67223be1f9a8a6ce	0	0	0	0	0	0	0	0	616	562	0	0	0	0	0	0	604	579	335	750	594	646	0	0
6bc4794e2653966acf2cb4524fdfd6fc	852	887	2069	433	0	0	0	0	0	9	0	0	5	0	0	9	10	0	14	12	0	0	14	22
c14c32b6e55160fb384327c0e04c5862	0	0	0	0	0	0	0	0	300	2447	0	8	0	0	0	0	0	13	0	14	0	1087	0	0
9ab20044c61bf536cc132b4583aa4ec3	0	0	0	0	0	0	0	0	2460	691	0	0	0	0	0	0	0	15	0	0	0	597	0	0
4348da116480dfdfb564e52475c8f43a	0	0	0	0	0	0	0	0	0	0	363	601	1044	767	856	0	0	0	0	0	0	0	0	0
3a0983c9a476952073c02a70810c2f9a	22	0	0	0	0	0	0	0	20	25	0	0	0	0	0	0	857	686	646	852	421	0	0	0
82cadd6d201015a238141a9ec7fa33d3	0	0	0	0	0	0	0	0	0	0	0	1408	895	0	1099	0	0	0	0	0	0	0	0	0
35b396e12f1b0b426476d17d3a06caa7	0	0	0	0	0	0	0	0	3157	29	0	0	0	0	0	0	0	9	20	15	25	15	0	0
110dc0b665d5d5c64de9226e7b0df6ec	617	671	1580	326	0	0	0	0	0	0	0	0	0	15	11	0	0	12	0	0	0	26	0	0
8c82e05f6a79fb422fd753b3d900d346	0	0	0	0	0	0	0	0	1945	578	0	0	0	0	0	0	0	0	16	24	27	484	0	0
c9c089051a8f08697131392edaf69f69	0	0	0	0	67	0	2705	216	0	0	37	0	0	0	0	0	0	10	0	0	0	0	0	0
f702d525619bd3a7da19482b70baf1c4	0	0	0	0	0	0	0	0	263	1842	0	0	0	0	9	0	26	0	0	0	13	755	0	0
05ccf93ee2c4dcdffd176d0e4ca3c9db	0	0	0	0	0	0	0	0	394	0	0	0	0	0	0	0	0	299	386	679	800	349	0	0
8241c688c6fb6dc1190ec5a85b174d7b	0	0	0	0	0	2856	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
ee3c02c98c5f2bb3184b6c06bcfcc90d	0	0	0	0	0	0	0	0	26	2684	0	0	0	0	0	0	0	5	10	8	21	0	0	0
