sample-id	SampleType	LifeStage
ASW1	ASW_Control	
ASW2	ASW_Control	
ASW3	ASW_Control	
ASW4	ASW_Control	
DNA6	DNA_Control	
DNA7	DNA_Control	
DNA8	DNA_Control	
DNA9	DNA_Control	
SRR24773994	Jellyfish	Polyp
SRR24773995	Jellyfish	Polyp
SRR24773996	Jellyfish	Polyp
SRR24773997	Jellyfish	Polyp
SRR24773998	Jellyfish	Ephyra
SRR24773999	Jellyfish	Ephyra
SRR24774000	Jellyfish	Ephyra
SRR24774005	Jellyfish	Ephyra
SRR24774010	Jellyfish	Medusae
SRR24774011	Jellyfish	Medusae
SRR24774012	Jellyfish	Medusae
SRR24774013	Jellyfish	Medusae
SRR24774014	Jellyfish	Medusae
SRR24774015	Jellyfish	Polyp
SRR24774016	Jellyfish	Ephyra
SRR24774017	Jellyfish	Ephyra
